model,seed,k,completion_time_s
iid,16,2,0.022750000000000138
iid,16,4,0.02245000000000013
iid,16,8,0.021850000000000112
iid,17,1,0.024100000000000177
iid,17,2,0.024300000000000183
iid,17,4,0.02285000000000014
iid,17,8,0.022250000000000124
iid,18,1,0.025150000000000207
iid,18,2,0.03250000000000042
iid,18,4,0.02735000000000027
iid,18,8,0.021900000000000114
iid,19,1,0.02520000000000021
iid,19,2,0.02320000000000015
iid,19,4,0.02215000000000012
iid,19,8,0.021850000000000112
iid,20,1,0.025350000000000213
iid,20,2,0.02315000000000015
iid,20,4,0.02215000000000012
iid,20,8,0.02180000000000011
iid,21,1,0.024700000000000194
iid,21,2,0.02350000000000016
iid,21,4,0.022300000000000125
iid,21,8,0.021950000000000115
iid,22,1,0.025750000000000224
iid,22,2,0.024650000000000193
iid,22,4,0.02285000000000014
iid,22,8,0.021950000000000115
iid,23,1,0.025350000000000213
iid,23,2,0.023400000000000157
iid,23,4,0.02215000000000012
iid,23,8,0.021950000000000115
iid,24,1,0.04470000000000077
iid,24,2,0.023450000000000158
iid,24,4,0.022200000000000122
iid,24,8,0.021850000000000112
iid,25,1,0.02425000000000018
iid,25,2,0.022300000000000125
iid,25,4,0.022050000000000118
iid,25,8,0.021850000000000112
iid,26,1,0.02425000000000018
iid,26,2,0.02285000000000014
iid,26,4,0.022000000000000117
iid,26,8,0.021950000000000115
iid,27,1,0.04660000000000082
iid,27,2,0.03285000000000043
iid,27,4,0.02215000000000012
iid,27,8,0.021950000000000115
iid,28,1,0.02415000000000018
iid,28,2,0.023300000000000154
iid,28,4,0.022350000000000127
iid,28,8,0.022050000000000118
iid,29,1,0.04655000000000082
iid,29,2,0.023400000000000157
iid,29,4,0.022250000000000124
iid,29,8,0.022050000000000118
iid,30,1,0.024750000000000195
iid,30,2,0.023300000000000154
iid,30,4,0.022950000000000144
iid,30,8,0.021950000000000115
iid,31,1,0.025400000000000214
iid,31,2,0.023000000000000145
iid,31,4,0.02215000000000012
iid,31,8,0.021900000000000114
iid,32,1,0.025000000000000203
iid,32,2,0.02415000000000018
iid,32,4,0.022200000000000122
iid,32,8,0.022000000000000117
iid,33,1,0.024450000000000187
