pair_id,arm_id,sample_id,fabric,ring_size,k,link_local_time_s,network_maxmin_time_s,network_over_link_local,log_network_over_link_local,network_minus_link_local_s,network_minus_link_local_ms,network_minus_link_local_ticks,tick_class,historical_network_minus_link_local_ticks,historical_tick_class,material_historical_ordering_reversal,equal_over_corrected_link_local,equal_over_corrected_network_maxmin,link_local_prop_minus_equal_ticks,network_maxmin_prop_minus_equal_ticks,equal_claim_review_trigger
a049_proportional_3tier_nb_p16_k2__s084,proportional_3tier_nb_p16_k2,84,3tier_nb,16,2,0.007549999999999982,0.007199999999999984,0.9536423841059605,-0.04746653723892349,-0.0003499999999999979,-0.34999999999999787,-7,maxmin_faster_by_2plus,-7,maxmin_faster_by_2plus,False,1.072847682119205,1.1249999999999996,-11,-18,False
a049_proportional_3tier_nb_p16_k2__s085,proportional_3tier_nb_p16_k2,85,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s086,proportional_3tier_nb_p16_k2,86,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s087,proportional_3tier_nb_p16_k2,87,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s088,proportional_3tier_nb_p16_k2,88,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s089,proportional_3tier_nb_p16_k2,89,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s090,proportional_3tier_nb_p16_k2,90,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s091,proportional_3tier_nb_p16_k2,91,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s092,proportional_3tier_nb_p16_k2,92,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s093,proportional_3tier_nb_p16_k2,93,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s094,proportional_3tier_nb_p16_k2,94,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
