model,seed,k,completion_time_s
iid,83,1,0.021500000000000102
iid,83,2,0.02180000000000011
iid,83,4,0.02180000000000011
iid,83,8,0.021950000000000115
iid,84,1,0.021500000000000102
iid,84,2,0.02175000000000011
iid,84,4,0.02175000000000011
iid,84,8,0.021900000000000114
iid,85,1,0.022600000000000134
iid,85,2,0.021950000000000115
iid,85,4,0.021950000000000115
iid,85,8,0.021950000000000115
iid,86,1,0.021500000000000102
iid,86,2,0.02175000000000011
iid,86,4,0.02175000000000011
iid,86,8,0.021850000000000112
iid,87,1,0.022950000000000144
iid,87,2,0.021950000000000115
iid,87,4,0.021650000000000107
iid,87,8,0.02175000000000011
iid,88,1,0.021500000000000102
iid,88,2,0.021500000000000102
iid,88,4,0.021500000000000102
iid,88,8,0.021550000000000104
iid,89,1,0.023000000000000145
iid,89,2,0.021900000000000114
iid,89,4,0.021900000000000114
iid,89,8,0.021650000000000107
iid,90,1,0.022950000000000144
iid,90,2,0.021900000000000114
iid,90,4,0.021900000000000114
iid,90,8,0.021950000000000115
iid,91,1,0.021500000000000102
iid,91,2,0.02175000000000011
iid,91,4,0.021600000000000105
iid,91,8,0.021650000000000107
iid,92,1,0.022750000000000138
iid,92,2,0.02180000000000011
iid,92,4,0.021700000000000108
iid,92,8,0.021550000000000104
iid,93,1,0.021500000000000102
iid,93,2,0.021700000000000108
iid,93,4,0.021600000000000105
iid,93,8,0.021600000000000105
iid,94,1,0.024350000000000184
iid,94,2,0.02215000000000012
iid,94,4,0.02175000000000011
iid,94,8,0.021900000000000114
iid,95,1,0.022900000000000142
iid,95,2,0.02175000000000011
iid,95,4,0.02175000000000011
iid,95,8,0.021650000000000107
iid,96,1,0.023950000000000173
iid,96,2,0.022300000000000125
iid,96,4,0.022300000000000125
iid,96,8,0.022000000000000117
iid,97,1,0.021500000000000102
iid,97,2,0.021900000000000114
iid,97,4,0.021900000000000114
iid,97,8,0.022050000000000118
iid,98,1,0.02420000000000018
iid,98,2,0.022200000000000122
iid,98,4,0.02175000000000011
iid,98,8,0.021600000000000105
iid,99,1,0.02315000000000015
iid,99,2,0.02245000000000013
iid,99,4,0.021950000000000115
iid,99,8,0.021850000000000112
hot_spot,0,1,0.07834999999999953
hot_spot,0,2,0.03995000000000063
hot_spot,0,4,0.039700000000000624
hot_spot,0,8,0.03010000000000035
hot_spot,1,1,0.10729999999999634
hot_spot,1,2,0.05380000000000103
hot_spot,1,4,0.05380000000000103
hot_spot,1,8,0.04965000000000091
hot_spot,2,1,0.10719999999999635
hot_spot,2,2,0.05385000000000103
hot_spot,2,4,0.029600000000000334
hot_spot,2,8,0.02520000000000021
hot_spot,3,1,0.07744999999999963
hot_spot,3,2,0.038750000000000596
hot_spot,3,4,0.038750000000000596
hot_spot,3,8,0.04830000000000087
hot_spot,4,1,0.021500000000000102
hot_spot,4,2,0.021500000000000102
