run,k,completion_time_s
35,2,0.07699999999999968
35,4,0.07754999999999962
35,8,0.05150000000000096
26,1,0.1620499999999903
26,2,0.10349999999999676
26,4,0.062100000000001265
26,8,0.043600000000000735
27,1,0.14099999999999263
27,2,0.09074999999999817
27,4,0.0704500000000004
27,8,0.059000000000001177
38,1,0.13624999999999315
38,2,0.07989999999999936
38,4,0.0659500000000009
38,8,0.04685000000000083
39,1,0.1539999999999912
39,2,0.07215000000000021
39,4,0.06885000000000058
39,8,0.05040000000000093
36,1,0.1704499999999894
36,2,0.11199999999999583
36,4,0.08234999999999909
36,8,0.04335000000000073
37,1,0.1421499999999925
37,2,0.09304999999999791
37,4,0.05245000000000099
37,8,0.0492500000000009
50,1,0.12749999999999412
50,2,0.07484999999999992
50,4,0.0563000000000011
50,8,0.05430000000000104
51,1,0.110349999999996
51,2,0.092249999999998
51,4,0.058650000000001166
51,8,0.04515000000000078
48,1,0.1458499999999921
48,2,0.09524999999999767
48,4,0.05250000000000099
48,8,0.04205000000000069
49,1,0.1213499999999948
49,2,0.09019999999999823
49,4,0.06445000000000106
49,8,0.05065000000000094
42,1,0.11889999999999507
42,2,0.09474999999999772
42,4,0.059650000000001195
42,8,0.04510000000000078
43,1,0.1357999999999932
43,2,0.09534999999999766
43,4,0.08074999999999927
43,8,0.04975000000000091
46,1,0.12914999999999394
46,2,0.06660000000000083
46,4,0.06085000000000123
46,8,0.04485000000000077
47,1,0.19104999999998712
47,2,0.09119999999999812
47,4,0.06740000000000074
47,8,0.042200000000000695
44,1,0.12784999999999408
44,2,0.09634999999999755
44,4,0.06080000000000123
44,8,0.04805000000000086
45,1,0.14544999999999214
45,2,0.09369999999999784
45,4,0.06665000000000082
45,8,0.04555000000000079
40,1,0.15784999999999078
40,2,0.13874999999999288
40,4,0.07340000000000008
40,8,0.05390000000000103
41,1,0.12284999999999463
41,2,0.0895499999999983
41,4,0.06820000000000065
41,8,0.04560000000000079
54,1,0.15019999999999162
54,2,0.08789999999999848
54,4,0.05745000000000113
54,8,0.04825000000000087
55,1,0.12629999999999425
55,2,0.09754999999999742
55,4,0.06295000000000123
55,8,0.055450000000001075
52,1,0.15904999999999064
52,2,0.0867999999999986
52,4,0.06795000000000068
52,8,0.05390000000000103
53,1,0.1502999999999916
53,2,0.09999999999999715
53,4,0.058900000000001174
53,8,0.04385000000000074
58,1,0.11319999999999569
58,2,0.0804999999999993
58,4,0.07419999999999999
58,8,0.04980000000000091
59,1,0.15284999999999133
59,2,0.10554999999999654
59,4,0.06395000000000112
59,8,0.039700000000000624
56,1,0.1721999999999892
56,2,0.08569999999999872
56,4,0.06605000000000089
56,8,0.04485000000000077
57,1,0.11749999999999522
57,2,0.11634999999999535
57,4,0.07120000000000032
57,8,0.04520000000000078
62,1,0.128449999999994
62,2,0.08779999999999849
62,4,0.048800000000000884
62,8,0.04015000000000064
63,1,0.1420999999999925
63,2,0.07439999999999997
63,4,0.05905000000000118
63,8,0.04055000000000065
64,1,0.13334999999999347
64,2,0.0867999999999986
64,4,0.07484999999999992
64,8,0.050250000000000926
65,1,0.12449999999999445
65,2,0.07544999999999985
65,4,0.05350000000000102
65,8,0.04270000000000071
66,1,0.13329999999999348
66,2,0.08599999999999869
66,4,0.0704000000000004
66,8,0.04685000000000083
67,1,0.12304999999999461
67,2,0.08399999999999891
67,4,0.056850000000001115
67,8,0.04975000000000091
74,1,0.11939999999999501
74,2,0.06460000000000105
74,4,0.07360000000000005
74,8,0.05485000000000106
75,1,0.12559999999999433
75,2,0.08259999999999906
75,4,0.0459000000000008
75,8,0.03955000000000062
60,1,0.13799999999999296
60,2,0.09109999999999813
60,4,0.09109999999999813
60,8,0.05120000000000095
61,1,0.13709999999999306
61,2,0.09549999999999764
61,4,0.0631500000000012
61,8,0.04445000000000076
70,1,0.14379999999999232
70,2,0.09204999999999802
