fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_os4,64,9,4,0.01614999999999995,0.009911462990769232,0.6294264545043258,6770833333.333333,427,3
3tier_os4,64,9,8,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,751,4
2tier,64,9,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,101,3
2tier,64,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,157,4
2tier,64,9,4,0.008099999999999979,0.007158278826666666,0.1315569281578035,9375000000.0,203,6
2tier,64,9,8,0.006749999999999987,0.0059652323555555555,0.13155692815780418,11250000000.0,223,10
3tier_nb,16,3,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,31,2
3tier_nb,16,3,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,63,2
3tier_nb,16,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,125,2
3tier_nb,16,3,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,238,3
3tier_os2,16,3,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,31,2
3tier_os2,16,3,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,63,2
3tier_os2,16,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,125,2
3tier_os2,16,3,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,238,3
3tier_os4,16,3,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,31,2
3tier_os4,16,3,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,63,2
3tier_os4,16,3,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,125,2
3tier_os4,16,3,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,238,3
2tier,16,3,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,31,2
2tier,16,3,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,52,3
2tier,16,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,95,4
2tier,16,3,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,140,7
3tier_nb,64,3,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,121,2
3tier_nb,64,3,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,230,2
3tier_nb,64,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,421,3
3tier_nb,64,3,8,0.006049999999999991,0.005769359054328357,0.04864334894551048,11631944444.444447,748,6
3tier_os2,64,3,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,121,2
3tier_os2,64,3,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,230,2
3tier_os2,64,3,4,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,421,3
