pair_id,arm_id,sample_id,family,runner,policy,placement_policy,fabric,ring_size,k,affected_fraction,congestion_model,arrival_rate_fps,frozen_method,legacy_time_s,maxmin_time_s,maxmin_over_legacy,maxmin_delta_pct,campaign_use
a001_equal_3tier_nb_p16_k1__s077,equal_3tier_nb_p16_k1,77,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s078,equal_3tier_nb_p16_k1,78,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s079,equal_3tier_nb_p16_k1,79,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s080,equal_3tier_nb_p16_k1,80,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s081,equal_3tier_nb_p16_k1,81,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s082,equal_3tier_nb_p16_k1,82,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s083,equal_3tier_nb_p16_k1,83,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s084,equal_3tier_nb_p16_k1,84,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s085,equal_3tier_nb_p16_k1,85,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s086,equal_3tier_nb_p16_k1,86,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s087,equal_3tier_nb_p16_k1,87,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
