arm_id,family,n_pairs,legacy_mean_s,maxmin_mean_s,paired_ratio_mean,paired_ratio_median,paired_ratio_min,paired_ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference_note
equal_3tier_nb_p64_k1,static_split,100,0.01096649999999996,0.01096649999999996,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p64_k16,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p64_k2,static_split,100,0.008148499999999979,0.008148499999999979,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p64_k32,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p64_k4,static_split,100,0.005980499999999992,0.005980499999999992,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p64_k8,static_split,100,0.0054454999999999955,0.0054454999999999955,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p16_k1,static_split,100,0.012254999999999983,0.012254999999999983,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p16_k16,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p16_k2,static_split,100,0.008477999999999979,0.008477999999999979,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p16_k32,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p16_k4,static_split,100,0.005939499999999992,0.005939499999999992,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p16_k8,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p64_k1,static_split,100,0.0210700000000001,0.0210700000000001,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p64_k16,static_split,100,0.0054064999999999955,0.0054064999999999955,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p64_k2,static_split,100,0.012909499999999957,0.012909499999999957,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p64_k32,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p64_k4,static_split,100,0.008629999999999976,0.008629999999999976,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os2_p64_k8,static_split,100,0.006019999999999991,0.006019999999999991,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p16_k1,static_split,100,0.02450300000000019,0.02450300000000019,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p16_k16,static_split,100,0.0055754999999999945,0.0055754999999999945,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p16_k2,static_split,100,0.016769500000000045,0.016769500000000045,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p16_k32,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p16_k4,static_split,100,0.011668999999999962,0.011668999999999962,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p16_k8,static_split,100,0.007584499999999982,0.007584499999999982,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p64_k1,static_split,100,0.04209300000000069,0.04209300000000069,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p64_k16,static_split,100,0.008604499999999977,0.008604499999999977,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p64_k2,static_split,100,0.025799500000000225,0.025799500000000225,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p64_k32,static_split,100,0.006528999999999988,0.006528999999999988,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_os4_p64_k4,static_split,100,0.01721999999999998,0.01721999999999998,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
