run,k,affected_fraction,completion_time_s
184,8,0.0,0.021500000000000102
185,1,0.0,0.06445000000000106
185,2,0.0,0.04295000000000072
185,4,0.0,0.026850000000000256
185,8,0.0,0.021500000000000102
186,1,0.0,0.04295000000000072
186,2,0.0,0.03225000000000041
186,4,0.0,0.021500000000000102
186,8,0.0,0.021500000000000102
187,1,0.0,0.06300000000000122
187,2,0.0,0.04295000000000072
187,4,0.0,0.026850000000000256
187,8,0.0,0.021550000000000104
188,1,0.0,0.04295000000000072
188,2,0.0,0.03225000000000041
188,4,0.0,0.021500000000000102
188,8,0.0,0.021500000000000102
189,1,0.0,0.04295000000000072
189,2,0.0,0.03225000000000041
189,4,0.0,0.026850000000000256
189,8,0.0,0.021500000000000102
190,1,0.0,0.04295000000000072
190,2,0.0,0.03225000000000041
190,4,0.0,0.021500000000000102
190,8,0.0,0.021600000000000105
191,1,0.0,0.04295000000000072
191,2,0.0,0.021500000000000102
191,4,0.0,0.026850000000000256
191,8,0.0,0.021500000000000102
192,1,0.0,0.04295000000000072
192,2,0.0,0.03225000000000041
192,4,0.0,0.021500000000000102
192,8,0.0,0.021500000000000102
193,1,0.0,0.04295000000000072
193,2,0.0,0.03225000000000041
193,4,0.0,0.03225000000000041
193,8,0.0,0.021500000000000102
194,1,0.0,0.04295000000000072
194,2,0.0,0.021500000000000102
194,4,0.0,0.026850000000000256
194,8,0.0,0.021600000000000105
195,1,0.0,0.04295000000000072
195,2,0.0,0.03225000000000041
195,4,0.0,0.023950000000000173
195,8,0.0,0.025500000000000217
196,1,0.0,0.04295000000000072
196,2,0.0,0.03225000000000041
196,4,0.0,0.021500000000000102
196,8,0.0,0.021500000000000102
197,1,0.0,0.06445000000000106
197,2,0.0,0.03225000000000041
197,4,0.0,0.026850000000000256
197,8,0.0,0.021500000000000102
198,1,0.0,0.04295000000000072
198,2,0.0,0.03225000000000041
198,4,0.0,0.026850000000000256
198,8,0.0,0.021500000000000102
199,1,0.0,0.04295000000000072
199,2,0.0,0.03225000000000041
199,4,0.0,0.04835000000000087
199,8,0.0,0.034900000000000486
200,1,0.0,0.04295000000000072
200,2,0.0,0.03225000000000041
200,4,0.0,0.026850000000000256
200,8,0.0,0.021500000000000102
201,1,0.0,0.04295000000000072
201,2,0.0,0.03225000000000041
201,4,0.0,0.021500000000000102
201,8,0.0,0.021500000000000102
202,1,0.0,0.04295000000000072
202,2,0.0,0.04295000000000072
202,4,0.0,0.03225000000000041
202,8,0.0,0.021500000000000102
203,1,0.0,0.04295000000000072
203,2,0.0,0.021500000000000102
203,4,0.0,0.021500000000000102
203,8,0.0,0.021500000000000102
204,1,0.0,0.04295000000000072
204,2,0.0,0.03225000000000041
204,4,0.0,0.026850000000000256
