fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_nb,64,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,427,3
3tier_nb,64,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,763,4
3tier_nb,64,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1203,7
3tier_nb,64,4,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1652,10
3tier_os2,64,4,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,118,2
3tier_os2,64,4,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,228,2
3tier_os2,64,4,4,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,427,3
3tier_os2,64,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,763,4
3tier_os2,64,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1203,7
3tier_os2,64,4,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1652,10
3tier_os4,64,4,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,118,2
3tier_os4,64,4,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,228,2
3tier_os4,64,4,4,0.01614999999999995,0.011713547170909092,0.3787454615036603,5729166666.666666,427,3
3tier_os4,64,4,8,0.010749999999999963,0.0067815273094736835,0.5851886322100903,9895833333.333334,763,4
3tier_os4,64,4,16,0.009399999999999971,0.0059066347882121804,0.5914307108947161,11361607142.857143,1203,7
3tier_os4,64,4,32,0.006749999999999987,0.0054751707739376775,0.23283825814723724,12256944444.444443,1652,10
2tier,64,4,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,91,2
2tier,64,4,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,145,4
2tier,64,4,4,0.009399999999999971,0.007911781861052632,0.1881015130451711,8482142857.142857,200,7
2tier,64,4,8,0.007399999999999983,0.006471868528219179,0.14341012456200053,10369318181.81818,242,11
2tier,64,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,254,16
2tier,64,4,32,0.005549999999999994,0.005414858482063038,0.024957534603096132,12393465909.090908,256,33
3tier_nb,16,7,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,28,1
3tier_nb,16,7,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,54,2
3tier_nb,16,7,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,107,2
3tier_nb,16,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,198,3
3tier_nb,16,7,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,360,4
3tier_nb,16,7,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,612,5
3tier_os2,16,7,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,28,1
3tier_os2,16,7,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,54,2
3tier_os2,16,7,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,107,2
3tier_os2,16,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,198,3
3tier_os2,16,7,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,360,4
3tier_os2,16,7,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,612,5
3tier_os4,16,7,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,28,1
3tier_os4,16,7,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,54,2
3tier_os4,16,7,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,107,2
