seed,k,t_equal,t_prop
58,32,0.007399999999999983,0.005599999999999994
56,1,0.04295000000000072,0.04295000000000072
56,2,0.021500000000000102,0.01795
56,4,0.01614999999999995,0.00959999999999997
56,8,0.010749999999999963,0.007399999999999983
56,16,0.008099999999999979,0.005949999999999992
56,32,0.007399999999999983,0.005599999999999994
55,1,0.04295000000000072,0.04295000000000072
55,2,0.021500000000000102,0.021500000000000102
55,4,0.01614999999999995,0.009899999999999968
55,8,0.010749999999999963,0.007449999999999983
55,16,0.008099999999999979,0.005749999999999993
55,32,0.005399999999999995,0.005399999999999995
59,1,0.04295000000000072,0.04295000000000072
59,2,0.03225000000000041,0.026900000000000257
59,4,0.01614999999999995,0.01109999999999996
59,8,0.010749999999999963,0.006999999999999985
59,16,0.009399999999999971,0.005849999999999992
59,32,0.006749999999999987,0.005549999999999994
60,1,0.04295000000000072,0.04295000000000072
60,2,0.021500000000000102,0.019100000000000034
60,4,0.021500000000000102,0.010099999999999967
60,8,0.010749999999999963,0.007249999999999984
60,16,0.008099999999999979,0.005699999999999993
60,32,0.007399999999999983,0.0054999999999999945
61,1,0.04295000000000072,0.04295000000000072
61,2,0.021500000000000102,0.019100000000000034
61,4,0.01614999999999995,0.009399999999999971
61,8,0.013449999999999946,0.007449999999999983
61,16,0.010749999999999963,0.00624999999999999
61,32,0.005399999999999995,0.005399999999999995
63,1,0.04295000000000072,0.04295000000000072
63,2,0.021500000000000102,0.019100000000000034
63,4,0.021500000000000102,0.010049999999999967
63,8,0.013449999999999946,0.007199999999999984
63,16,0.009399999999999971,0.0059999999999999915
63,32,0.006049999999999991,0.0054999999999999945
65,1,0.021500000000000102,0.021500000000000102
65,2,0.021500000000000102,0.019100000000000034
65,4,0.01614999999999995,0.008499999999999976
65,8,0.013449999999999946,0.007499999999999982
65,16,0.008099999999999979,0.005849999999999992
65,32,0.007399999999999983,0.005549999999999994
62,1,0.04295000000000072,0.04295000000000072
62,2,0.03225000000000041,0.019750000000000052
62,4,0.01614999999999995,0.011499999999999958
62,8,0.013449999999999946,0.006799999999999987
62,16,0.009399999999999971,0.0059999999999999915
62,32,0.007399999999999983,0.0054999999999999945
64,1,0.04295000000000072,0.04295000000000072
64,2,0.03225000000000041,0.01795
64,4,0.021500000000000102,0.010049999999999967
64,8,0.010749999999999963,0.006699999999999987
64,16,0.008099999999999979,0.005849999999999992
64,32,0.006049999999999991,0.005449999999999995
67,1,0.04295000000000072,0.04295000000000072
67,2,0.021500000000000102,0.01795
67,4,0.01614999999999995,0.009949999999999968
67,8,0.013449999999999946,0.006699999999999987
67,16,0.008099999999999979,0.005699999999999993
67,32,0.006049999999999991,0.005449999999999995
66,1,0.04295000000000072,0.04295000000000072
66,2,0.021500000000000102,0.021500000000000102
66,4,0.01614999999999995,0.008599999999999976
66,8,0.010749999999999963,0.0066499999999999875
66,16,0.008099999999999979,0.005849999999999992
66,32,0.006049999999999991,0.005449999999999995
68,1,0.04295000000000072,0.04295000000000072
68,2,0.03225000000000041,0.026900000000000257
68,4,0.01614999999999995,0.00964999999999997
68,8,0.010749999999999963,0.006949999999999986
68,16,0.009399999999999971,0.006049999999999991
