arm_id,family,policy,fabric,ring_size,k,n_pairs,ratio_mean,ratio_mean_ci_low,ratio_mean_ci_high,ratio_geometric_mean,ratio_geometric_ci_low,ratio_geometric_ci_high,ratio_median,ratio_min,ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference
congestion_onoff_p16_k4,congestion,equal,3tier_nb,16,4,100,0.9631322963580703,0.95651431284414,0.9694694746806922,0.9625648371918103,0.9558407910425087,0.9690141654689645,0.973053232756945,0.8704784130688432,1.0,92,8,0,maxmin_faster_pointwise_95pct_CI
congestion_onoff_p16_k8,congestion,equal,3tier_nb,16,8,100,0.9637990368863895,0.9582515335133607,0.9690389253788418,0.9633887172686997,0.9577597052997796,0.9687301317309855,0.9687529370937769,0.8734567901234548,1.0,98,2,0,maxmin_faster_pointwise_95pct_CI
controller_p16_af00_adaptive,controller,adaptive,3tier_nb,16,1,100,0.9997522343832146,0.9993733212254458,1.0,0.9997507125608383,0.9993695466678048,1.0,1.0,0.9868852459016392,1.0,2,98,0,diagnostic_frozen_controller_requires_recalibration
controller_p16_af00_baseline,controller,equal,3tier_nb,16,1,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
controller_p16_af00_static_k4,controller,equal,3tier_nb,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
controller_p16_af01_adaptive,controller,adaptive,3tier_nb,16,1,100,0.983776552437988,0.9775858061754086,0.9897782205646009,0.9832845506253034,0.977067187121257,0.9892990375640365,0.9885148151113663,0.9004854368932026,1.0620384047267366,66,10,24,diagnostic_frozen_controller_requires_recalibration
controller_p16_af01_baseline,controller,equal,3tier_nb,16,1,100,0.9989053350999129,0.9972156401376598,0.9999476439790576,0.9988768891861286,0.9971235456292349,0.9999475078189013,1.0,0.9305169538632637,1.0,4,96,0,maxmin_faster_pointwise_95pct_CI
controller_p16_af01_static_k4,controller,equal,3tier_nb,16,4,100,0.9730386858070915,0.9642299068260033,0.9806824215442199,0.9720270016479194,0.9626201236194444,0.9801877150207984,0.9860774476441548,0.7634920634920597,1.0,76,24,0,maxmin_faster_pointwise_95pct_CI
controller_p16_af03_adaptive,controller,adaptive,3tier_nb,16,1,100,0.9620633264762057,0.9545213148325232,0.9692073838524842,0.9613089438900754,0.9535575428908831,0.9686414774500391,0.9670219717091035,0.7812197483059029,1.0381355932203393,87,3,10,diagnostic_frozen_controller_requires_recalibration
controller_p16_af03_baseline,controller,equal,3tier_nb,16,1,100,0.9968695277592089,0.9933421060960829,0.9994291266244459,0.9967384560024831,0.9930622511326294,0.9994208126003908,1.0,0.8782608695652265,1.0,5,95,0,maxmin_faster_pointwise_95pct_CI
controller_p16_af03_static_k4,controller,equal,3tier_nb,16,4,100,0.9643364878329775,0.9576708715688934,0.9706942581488962,0.9637409067681221,0.9569569369642953,0.9702256022432716,0.9734429515254988,0.8662251655629121,1.0,89,11,0,maxmin_faster_pointwise_95pct_CI
controller_p16_af05_adaptive,controller,adaptive,3tier_nb,16,1,100,0.9637428929363057,0.9578007537379591,0.9694758894467538,0.9632622182163979,0.9572406461886896,0.969057163267825,0.9681111111111107,0.8644859813084099,1.032290615539859,90,3,7,diagnostic_frozen_controller_requires_recalibration
