fabric,P,seed,k,t_prop
2tier,16,72,8,0.005399999999999995
2tier,16,72,16,0.005399999999999995
2tier,16,73,2,0.006449999999999989
2tier,16,73,4,0.00624999999999999
2tier,16,73,8,0.005799999999999993
2tier,16,73,16,0.005399999999999995
2tier,16,74,2,0.010749999999999963
2tier,16,74,4,0.005399999999999995
2tier,16,74,8,0.005399999999999995
2tier,16,74,16,0.005399999999999995
2tier,16,75,2,0.005399999999999995
2tier,16,75,4,0.005399999999999995
2tier,16,75,8,0.005399999999999995
2tier,16,75,16,0.005399999999999995
2tier,16,76,2,0.005399999999999995
2tier,16,76,4,0.005399999999999995
2tier,16,76,8,0.005399999999999995
2tier,16,76,16,0.005399999999999995
2tier,16,77,2,0.007549999999999982
2tier,16,77,4,0.005399999999999995
2tier,16,77,8,0.005399999999999995
2tier,16,77,16,0.005399999999999995
2tier,16,78,2,0.006449999999999989
2tier,16,78,4,0.005399999999999995
2tier,16,78,8,0.005399999999999995
2tier,16,78,16,0.005399999999999995
2tier,16,79,2,0.005399999999999995
2tier,16,79,4,0.005399999999999995
2tier,16,79,8,0.005399999999999995
2tier,16,79,16,0.005399999999999995
2tier,16,80,2,0.005399999999999995
2tier,16,80,4,0.005399999999999995
2tier,16,80,8,0.005399999999999995
2tier,16,80,16,0.005399999999999995
2tier,16,81,2,0.007549999999999982
2tier,16,81,4,0.005399999999999995
2tier,16,81,8,0.005399999999999995
2tier,16,81,16,0.005399999999999995
2tier,16,82,2,0.005399999999999995
2tier,16,82,4,0.005399999999999995
2tier,16,82,8,0.005399999999999995
2tier,16,82,16,0.005399999999999995
2tier,16,83,2,0.005399999999999995
2tier,16,83,4,0.005399999999999995
2tier,16,83,8,0.005399999999999995
2tier,16,83,16,0.005399999999999995
2tier,16,84,2,0.005399999999999995
2tier,16,84,4,0.005399999999999995
2tier,16,84,8,0.005399999999999995
2tier,16,84,16,0.005399999999999995
2tier,16,85,2,0.007549999999999982
2tier,16,85,4,0.005399999999999995
2tier,16,85,8,0.005399999999999995
