fabric,P,seed,k,t_prop
2tier,64,11,16,0.005699999999999993
2tier,64,11,32,0.0054999999999999945
3tier_nb,16,15,2,0.005399999999999995
3tier_nb,16,15,4,0.005399999999999995
3tier_nb,16,15,8,0.005399999999999995
3tier_nb,16,15,16,0.005399999999999995
3tier_nb,16,15,32,0.005399999999999995
3tier_os2,16,15,2,0.007199999999999984
3tier_os2,16,15,4,0.005399999999999995
3tier_os2,16,15,8,0.005399999999999995
3tier_os2,16,15,16,0.005399999999999995
3tier_os2,16,15,32,0.005399999999999995
3tier_os4,16,15,2,0.014349999999999941
3tier_os4,16,15,4,0.007199999999999984
3tier_os4,16,15,8,0.006099999999999991
3tier_os4,16,15,16,0.005399999999999995
3tier_os4,16,15,32,0.005399999999999995
2tier,16,15,2,0.005399999999999995
2tier,16,15,4,0.0059999999999999915
2tier,16,15,8,0.005399999999999995
2tier,16,15,16,0.005399999999999995
2tier,16,15,32,0.005399999999999995
3tier_nb,64,15,2,0.007549999999999982
3tier_nb,64,15,4,0.006949999999999986
3tier_nb,64,15,8,0.005399999999999995
3tier_nb,64,15,16,0.005399999999999995
3tier_nb,64,15,32,0.005399999999999995
3tier_os2,64,15,2,0.010749999999999963
3tier_os2,64,15,4,0.006999999999999985
3tier_os2,64,15,8,0.005399999999999995
3tier_os2,64,15,16,0.005399999999999995
3tier_os2,64,15,32,0.005399999999999995
3tier_os4,64,15,2,0.021500000000000102
3tier_os4,64,15,4,0.009299999999999971
3tier_os4,64,15,8,0.006749999999999987
3tier_os4,64,15,16,0.005849999999999992
3tier_os4,64,15,32,0.005449999999999995
2tier,64,15,2,0.00959999999999997
2tier,64,15,4,0.007449999999999983
2tier,64,15,8,0.0061499999999999905
2tier,64,15,16,0.0054999999999999945
2tier,64,15,32,0.005399999999999995
3tier_nb,16,16,2,0.005399999999999995
3tier_nb,16,16,4,0.005399999999999995
3tier_nb,16,16,8,0.005399999999999995
