fabric,P,k,seed,condition,flows,lower_bound_violations,strict_flow_fraction,mean_rate_ratio,max_rate_ratio,sum_rate_ratio,placement_digest,capacity_digest,route_digest
3tier_nb,16,16,5,hot_spot,256,0,0.55859375,1.133512921652295,1.6893936356148263,1.1515250038461533,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a2da32921bd27a588638c4cb8a3e88e99a9dedc8531e9a2a7b3bc5fb7dc8bba5
3tier_nb,16,16,6,none,256,0,0.0,1.0,1.0,1.0,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,274bad8df9e376342ed48180ea134c2d976681d2af02048180e049f6abb72bba
3tier_nb,16,16,6,hot_spot,256,0,0.6171875,1.0881340915203233,1.3699765280585485,1.0966450483506143,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,274bad8df9e376342ed48180ea134c2d976681d2af02048180e049f6abb72bba
3tier_nb,16,16,7,none,256,0,0.0,1.0,1.0,1.0,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,71b7806e14591cff9486f16625dfe4eff9e697671d9989006023c5c0c00b61d2
3tier_nb,16,16,7,hot_spot,256,0,0.515625,1.0677685831858323,2.933067859257569,1.0726836900298506,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,71b7806e14591cff9486f16625dfe4eff9e697671d9989006023c5c0c00b61d2
3tier_nb,16,16,8,none,256,0,0.0,1.0,1.0,1.0,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,83dd010788d1ce92f9195331316282511fd88507862fadf40603211e0487bf45
3tier_nb,16,16,8,hot_spot,256,0,0.57421875,1.0715618759498897,1.459909082053872,1.0770690207608955,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,83dd010788d1ce92f9195331316282511fd88507862fadf40603211e0487bf45
3tier_nb,16,16,9,none,256,0,0.0,1.0,1.0,1.0,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a660fb7776afe78268113046637711af0b0d292d4505f3b71f72c606b2dac852
3tier_nb,16,16,9,hot_spot,256,0,0.48046875,1.0912947323556492,1.9852974492127702,1.098517954651895,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a660fb7776afe78268113046637711af0b0d292d4505f3b71f72c606b2dac852
3tier_nb,64,2,0,none,128,0,0.015625,1.0052083333333333,1.3333333333333335,1.0052910052910053,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,5c7fa563057c55cefb32d1b76629882864edf6816f8c089c70ab53824eb1afe1
