run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
39,380052004,16,0.3,adaptive,0.04620000000000081,3.0,4
39,380052004,16,0.5,adaptive,0.05010000000000092,3.8125,4
39,380052004,64,0.0,adaptive,0.030350000000000356,1.296875,3
39,380052004,64,0.1,adaptive,0.04300000000000072,2.296875,4
39,380052004,64,0.3,adaptive,0.05675000000000111,3.109375,4
39,380052004,64,0.5,adaptive,0.06385000000000113,3.75,4
40,390052005,16,0.0,adaptive,0.021500000000000102,1.0,1
40,390052005,16,0.1,adaptive,0.03985000000000063,2.5,4
40,390052005,16,0.3,adaptive,0.062100000000001265,2.4375,4
40,390052005,16,0.5,adaptive,0.05675000000000111,3.1875,4
40,390052005,64,0.0,adaptive,0.030350000000000356,1.40625,3
40,390052005,64,0.1,adaptive,0.04345000000000073,2.265625,4
40,390052005,64,0.3,adaptive,0.06940000000000052,2.984375,4
40,390052005,64,0.5,adaptive,0.07444999999999996,3.796875,4
43,420052008,16,0.0,adaptive,0.021500000000000102,1.0,1
43,420052008,16,0.1,adaptive,0.0319000000000004,1.4375,4
43,420052008,16,0.3,adaptive,0.03500000000000049,2.5625,4
43,420052008,16,0.5,adaptive,0.04365000000000074,3.5625,4
43,420052008,64,0.0,adaptive,0.02665000000000025,1.03125,2
43,420052008,64,0.1,adaptive,0.03775000000000057,1.609375,4
43,420052008,64,0.3,adaptive,0.04900000000000089,2.828125,4
43,420052008,64,0.5,adaptive,0.052900000000001,3.6875,4
42,410052007,16,0.0,adaptive,0.021500000000000102,1.0,1
42,410052007,16,0.1,adaptive,0.037250000000000554,1.6875,4
42,410052007,16,0.3,adaptive,0.04300000000000072,3.1875,4
42,410052007,16,0.5,adaptive,0.04445000000000076,3.75,4
42,410052007,64,0.0,adaptive,0.030350000000000356,1.171875,3
42,410052007,64,0.1,adaptive,0.046000000000000804,1.796875,4
42,410052007,64,0.3,adaptive,0.05035000000000093,3.203125,4
42,410052007,64,0.5,adaptive,0.07749999999999962,3.59375,4
44,430052009,16,0.0,adaptive,0.02665000000000025,1.125,2
44,430052009,16,0.1,adaptive,0.03440000000000047,2.0625,4
44,430052009,16,0.3,adaptive,0.04020000000000064,2.8125,4
44,430052009,16,0.5,adaptive,0.05220000000000098,3.4375,4
44,430052009,64,0.0,adaptive,0.030350000000000356,1.265625,3
44,430052009,64,0.1,adaptive,0.045350000000000786,2.0,4
44,430052009,64,0.3,adaptive,0.060300000000001214,3.15625,4
44,430052009,64,0.5,adaptive,0.05395000000000103,3.71875,4
41,400052006,16,0.0,adaptive,0.021500000000000102,1.0,1
41,400052006,16,0.1,adaptive,0.03330000000000044,1.4375,4
41,400052006,16,0.3,adaptive,0.0458500000000008,3.125,4
41,400052006,16,0.5,adaptive,0.05260000000000099,3.375,4
41,400052006,64,0.0,adaptive,0.03260000000000042,1.46875,4
41,400052006,64,0.1,adaptive,0.047050000000000834,2.171875,4
41,400052006,64,0.3,adaptive,0.06445000000000106,3.359375,4
41,400052006,64,0.5,adaptive,0.061700000000001254,3.796875,4
49,480052014,16,0.0,adaptive,0.021500000000000102,1.0,1
